Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Environment\Ambience	
	535830432	Door_Open			\Default Work Unit\Environment\Door_Open	
	2385628198	Footsteps			\Default Work Unit\Player\Footsteps	
	3431057813	Trashcan			\Default Work Unit\Player\Trashcan	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	176477860	Silence	Wwise Silence		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\New Silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	776771597	Environment Noise Layer 1	.cache\45\{4592E63C-E5B5-AC5F-01EA-589DA70A024C}.wem		\Containers\Default Work Unit\Environment\Ambience\Environment Noise Layer 1		14485448
	801512719	Amb_SFX_15	.cache\3B\{3B2AF92C-4110-F628-9CDD-8E1F7AA3E61C}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_15		1990428
	822579370	metal_07	.cache\43\{43DE0F32-B114-9D1F-B9CC-C756354A34AC}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_07		43190
	852044375	Amb_SFX_11	.cache\60\{604AD716-4DEB-A397-DCF1-54CF104FFCA8}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_11		2000516
	882779968	Amb_SFX_01	.cache\56\{56BA9380-4BBC-480F-D1C4-EAC5A8E5ED0A}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_01		1472540
	890012544	125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_02	.cache\75\{75729F35-6530-5436-CA0B-CF9CEA6B3041}.wem		\Containers\Default Work Unit\Player\Carpet\125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_02		101648
	941014888	metal_01	.cache\D7\{D71F9DE5-3701-5C63-E18C-A35B473EF573}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_01		31226
	956179560	DoorOpen2	.cache\C5\{C5754F0E-00E3-B4BD-7C73-039A9447B520}.wem		\Containers\Default Work Unit\Environment\DoorOpen\DoorOpen2		135548
	961463317	DoorOpen1	.cache\90\{901ED4DF-BB29-EA00-DC41-5C546D64DB9B}.wem		\Containers\Default Work Unit\Environment\DoorOpen\DoorOpen1		116096
	978459537	metal	.cache\2C\{2CF159CC-2593-720F-79AA-5DB23067B56D}.wem		\Containers\Default Work Unit\Player\TrashCan\metal		50380
	1056136531	Amb_SFX_05	.cache\4C\{4CDB4C4E-6DDD-7231-C84A-6A4700BBBCFA}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_05		1688604

